date,discharge
1/18/1996,5.89056
1/19/1996,6.03216
1/20/1996,6.20208
1/21/1996,6.17376
1/22/1996,4.69404
1/23/1996,6.17376
1/24/1996,6.14544
1/25/1996,6.11712
1/26/1996,6.11712
1/27/1996,5.91888
1/28/1996,5.89056
1/29/1996,6.03216
1/30/1996,6.00384
1/31/1996,6.03216
1/1/1997,5.32416
1/2/1997,5.2392
1/3/1997,5.21088
1/4/1997,5.40912
1/5/1997,5.72064
1/6/1997,5.55072
1/7/1997,5.43744
1/8/1997,5.46576
1/9/1997,5.3808
1/10/1997,5.35248
1/11/1997,5.3808
1/12/1997,5.46576
1/13/1997,5.7348
1/14/1997,7.73136
1/15/1997,6.96672
1/16/1997,5.43744
1/17/1997,4.86396
1/18/1997,6.14544
1/19/1997,5.91888
1/20/1997,5.89056
1/21/1997,5.8056
1/22/1997,5.72064
1/23/1997,5.72064
1/24/1997,5.69232
1/25/1997,5.49408
1/26/1997,5.67108
1/27/1997,59.0472
1/28/1997,43.1172
1/29/1997,26.1252
1/30/1997,23.1516
1/31/1997,20.05056
1/1/1998,5.39496
1/2/1998,5.37372
1/3/1998,5.50116
1/4/1998,5.60736
1/5/1998,8.0712
1/6/1998,10.70496
1/7/1998,8.43228
1/8/1998,6.66936
1/9/1998,5.9472
1/10/1998,5.7348
1/11/1998,5.71356
1/12/1998,5.86224
1/13/1998,5.67108
1/14/1998,5.45868
1/15/1998,5.31
1/16/1998,5.28876
1/17/1998,5.22504
1/18/1998,5.37372
1/19/1998,5.75604
1/20/1998,6.30828
1/21/1998,6.64812
1/22/1998,6.96672
1/23/1998,6.43572
1/24/1998,5.88348
1/25/1998,5.43744
1/26/1998,5.2038
1/27/1998,5.05512
1/28/1998,5.01264
1/29/1998,4.97016
1/30/1998,4.92768
1/31/1998,4.94892
1/1/1999,5.77728
1/2/1999,5.72064
1/3/1999,5.74896
1/4/1999,5.69232
1/5/1999,5.77728
1/6/1999,5.86224
1/7/1999,5.83392
1/8/1999,5.664
1/9/1999,5.72064
1/10/1999,5.72064
1/11/1999,5.74896
1/12/1999,5.74896
1/13/1999,5.664
1/14/1999,5.63568
1/15/1999,5.664
1/16/1999,5.60736
1/17/1999,5.55072
1/18/1999,5.57904
1/19/1999,5.63568
1/20/1999,5.60736
1/21/1999,5.60736
1/22/1999,5.55072
1/23/1999,5.5224
1/24/1999,5.664
1/25/1999,5.664
1/26/1999,5.72064
1/27/1999,5.74896
1/28/1999,5.8056
1/29/1999,5.77728
1/30/1999,5.77728
1/31/1999,5.69232
1/1/2000,5.89056
1/2/2000,6.03216
1/3/2000,6.06048
1/4/2000,5.97552
1/5/2000,6.00384
1/6/2000,5.97552
1/7/2000,5.86224
1/8/2000,5.86224
1/9/2000,5.86224
1/10/2000,5.86224
1/11/2000,5.89056
1/12/2000,5.86224
1/13/2000,5.8056
1/14/2000,5.83392
1/15/2000,5.77728
1/16/2000,5.664
1/17/2000,5.664
1/18/2000,5.664
1/19/2000,5.5224
1/20/2000,5.55072
1/21/2000,5.74896
1/22/2000,5.72064
1/23/2000,5.72064
1/24/2000,5.74896
1/25/2000,5.77728
1/26/2000,5.86224
1/27/2000,5.86224
1/28/2000,5.9472
1/29/2000,5.97552
1/30/2000,6.00384
1/31/2000,6.00384
1/1/2001,5.2392
1/2/2001,5.26752
1/3/2001,5.2392
1/4/2001,5.15424
1/5/2001,5.18256
1/6/2001,5.26752
1/7/2001,5.40912
1/8/2001,5.40912
1/9/2001,5.72064
1/10/2001,5.77728
1/11/2001,5.60736
1/12/2001,5.9472
1/13/2001,4.75776
1/14/2001,4.82148
1/15/2001,5.97552
1/16/2001,6.03216
1/17/2001,6.0888
1/18/2001,6.06048
1/19/2001,5.91888
1/20/2001,5.83392
1/21/2001,5.8056
1/22/2001,5.77728
1/23/2001,5.8056
1/24/2001,5.8056
1/25/2001,5.86224
1/26/2001,5.97552
1/27/2001,4.86396
1/28/2001,4.90644
1/29/2001,4.779
1/30/2001,4.71528
1/31/2001,6.03216
1/1/2002,5.5224
1/2/2002,5.5224
1/3/2002,5.43744
1/4/2002,5.3808
1/5/2002,5.3808
1/6/2002,5.32416
1/7/2002,5.32416
1/8/2002,5.29584
1/9/2002,5.32416
1/10/2002,5.29584
1/11/2002,5.2392
1/12/2002,5.26752
1/13/2002,5.26752
1/14/2002,5.29584
1/15/2002,5.35248
1/16/2002,5.3808
1/17/2002,5.35248
1/18/2002,5.32416
1/19/2002,5.29584
1/20/2002,5.26752
1/21/2002,5.26752
1/22/2002,5.35248
1/23/2002,5.32416
1/24/2002,5.26752
1/25/2002,5.29584
1/26/2002,5.32416
1/27/2002,5.29584
1/28/2002,5.29584
1/29/2002,5.29584
1/30/2002,5.26752
1/31/2002,5.2392
1/1/2003,5.89056
1/2/2003,5.77728
1/3/2003,5.77728
1/4/2003,5.77728
1/5/2003,5.74896
1/6/2003,5.72064
1/7/2003,5.69232
1/8/2003,5.8056
1/9/2003,5.97552
1/10/2003,6.00384
1/11/2003,6.0888
1/12/2003,6.20208
1/13/2003,6.0888
1/14/2003,5.97552
1/15/2003,5.9472
1/16/2003,5.91888
1/17/2003,5.89056
1/18/2003,5.8056
1/19/2003,5.69232
1/20/2003,5.69232
1/21/2003,5.77728
1/22/2003,5.89056
1/23/2003,5.86224
1/24/2003,5.8056
1/25/2003,5.74896
1/26/2003,5.74896
1/27/2003,5.72064
1/28/2003,5.72064
1/29/2003,5.29584
1/30/2003,4.70112
1/31/2003,4.47456
1/1/2004,6.11712
1/2/2004,6.17376
1/3/2004,6.20208
1/4/2004,6.20208
1/5/2004,4.6728
1/6/2004,4.6728
1/7/2004,6.11712
1/8/2004,6.14544
1/9/2004,6.03216
1/10/2004,6.00384
1/11/2004,5.97552
1/12/2004,6.00384
1/13/2004,6.17376
1/14/2004,4.71528
1/15/2004,4.75776
1/16/2004,4.75776
1/17/2004,4.73652
1/18/2004,4.6728
1/19/2004,4.80024
1/20/2004,4.84272
1/21/2004,5.0976
1/22/2004,5.07636
1/23/2004,5.07636
1/24/2004,5.0976
1/25/2004,5.11884
1/26/2004,5.11884
1/27/2004,5.14008
1/28/2004,5.18256
1/29/2004,5.11884
1/30/2004,5.11884
1/31/2004,5.11884
1/1/2005,66.6936
1/2/2005,38.0196
1/3/2005,26.9748
1/4/2005,172.6812
1/5/2005,121.068
1/6/2005,61.596
1/7/2005,37.8072
1/8/2005,26.3376
1/9/2005,24.0012
1/10/2005,62.0208
1/11/2005,235.764
1/12/2005,552.24
1/13/2005,216.648
1/14/2005,96.4296
1/15/2005,53.1
1/16/2005,34.8336
1/17/2005,28.8864
1/18/2005,28.674
1/19/2005,29.9484
1/20/2005,32.7096
1/21/2005,36.3204
1/22/2005,39.0816
1/23/2005,40.1436
1/24/2005,35.046
1/25/2005,31.6476
1/26/2005,26.3376
1/27/2005,88.9956
1/28/2005,129.1392
1/29/2005,63.5076
1/30/2005,42.6924
1/31/2005,39.0816
1/1/2006,5.63568
1/2/2006,5.69232
1/3/2006,5.57904
1/4/2006,5.49408
1/5/2006,5.43744
1/6/2006,5.32416
1/7/2006,5.26752
1/8/2006,5.40912
1/9/2006,5.43744
1/10/2006,5.29584
1/11/2006,5.29584
1/12/2006,5.26752
1/13/2006,5.26752
1/14/2006,5.29584
1/15/2006,5.29584
1/16/2006,5.21088
1/17/2006,5.3808
1/18/2006,5.55072
1/19/2006,5.60736
1/20/2006,5.57904
1/21/2006,5.60736
1/22/2006,5.60736
1/23/2006,5.664
1/24/2006,5.77728
1/25/2006,5.74896
1/26/2006,5.8056
1/27/2006,5.89056
1/28/2006,5.9472
1/29/2006,5.91888
1/30/2006,5.89056
1/31/2006,5.89056
1/1/2007,5.35248
1/2/2007,5.29584
1/3/2007,5.26752
1/4/2007,5.12592
1/5/2007,5.04096
1/6/2007,5.0976
1/7/2007,5.12592
1/8/2007,5.0976
1/9/2007,5.15424
1/10/2007,5.18256
1/11/2007,5.21088
1/12/2007,5.2392
1/13/2007,5.26752
1/14/2007,5.21088
1/15/2007,5.2392
1/16/2007,5.18256
1/17/2007,5.29584
1/18/2007,5.35248
1/19/2007,5.35248
1/20/2007,5.55072
1/21/2007,5.60736
1/22/2007,5.55072
1/23/2007,5.43744
1/24/2007,5.29584
1/25/2007,5.18256
1/26/2007,5.18256
1/27/2007,5.2392
1/28/2007,5.2392
1/29/2007,5.21088
1/30/2007,5.18256
1/31/2007,5.40912
1/1/2008,5.55072
1/2/2008,5.43744
1/3/2008,5.43744
1/4/2008,5.49408
1/5/2008,5.57904
1/6/2008,23.364
1/7/2008,129.3516
1/8/2008,53.7372
1/9/2008,22.0896
1/10/2008,17.7354
1/11/2008,14.57064
1/12/2008,12.6378
1/13/2008,11.00232
1/14/2008,9.7704
1/15/2008,8.58096
1/16/2008,7.51896
1/17/2008,6.66936
1/18/2008,6.0534
1/19/2008,5.6286
1/20/2008,5.4162
1/21/2008,5.2038
1/22/2008,4.97016
1/23/2008,4.86396
1/24/2008,4.80024
1/25/2008,4.75776
1/26/2008,4.71528
1/27/2008,11.12976
1/28/2008,246.384
1/29/2008,121.9176
1/30/2008,52.038
1/31/2008,30.3732
1/1/2009,5.22504
1/2/2009,4.9914
1/3/2009,4.86396
1/4/2009,5.16132
1/5/2009,5.33124
1/6/2009,4.90644
1/7/2009,6.14544
1/8/2009,5.97552
1/9/2009,5.89056
1/10/2009,6.03216
1/11/2009,4.6728
1/12/2009,6.11712
1/13/2009,5.83392
1/14/2009,5.72064
1/15/2009,4.84272
1/16/2009,5.33124
1/17/2009,5.60736
1/18/2009,6.07464
1/19/2009,6.11712
1/20/2009,5.77728
1/21/2009,5.43744
1/22/2009,5.58612
1/23/2009,12.68028
1/24/2009,33.1344
1/25/2009,64.3572
1/26/2009,48.4272
1/27/2009,29.5236
1/28/2009,17.11944
1/29/2009,11.97936
1/30/2009,9.1332
1/31/2009,7.5402
1/1/2010,4.956
1/2/2010,4.89936
1/3/2010,4.87104
1/4/2010,4.87104
1/5/2010,4.8144
1/6/2010,4.8144
1/7/2010,4.8144
1/8/2010,4.75776
1/9/2010,4.8144
1/10/2010,4.8144
1/11/2010,4.84272
1/12/2010,4.8144
1/13/2010,4.8144
1/14/2010,4.84272
1/15/2010,4.89936
1/16/2010,5.01264
1/17/2010,5.0976
1/18/2010,5.06928
1/19/2010,5.60736
1/20/2010,5.56488
1/21/2010,19.90188
1/22/2010,170.3448
1/23/2010,103.4388
1/24/2010,39.5064
1/25/2010,21.6648
1/26/2010,15.42024
1/27/2010,13.806
1/28/2010,26.7624
1/29/2010,22.0896
1/30/2010,19.47708
1/31/2010,16.09992
1/1/2011,6.45696
1/2/2011,5.79852
1/3/2011,5.47992
